timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1764090926.3532798,0.0,0.0,0.0,0.0,0.0,0.0
1764090926.3975494,0.0,0.0,0.0,0.0,0.0,0.5024
1764090926.4412239,0.0,0.0,0.0,0.0,0.0,1.0048
1764090926.4792237,0.0,0.0,0.0,0.0,0.0,1.5072
1764090926.5191488,0.0,0.0,0.0,0.0,0.0,2.0096
1764090926.5574868,0.0,0.0,0.0,0.0,0.0,2.512
1764090926.6084313,0.0,0.0,0.0,0.0,0.0,3.0144
1764090926.6415684,0.0,0.0,0.0,0.0,0.0,3.5168
1764090926.6787376,0.0,0.0,0.0,0.0,0.0,4.0192
1764090926.7236464,0.0,0.0,0.0,0.0,0.0,4.5216
1764090926.757797,0.0,0.0,0.0,0.0,0.0,5.024
1764090926.7994902,0.0,0.0,0.0,0.0,0.0,5.5264
1764090926.837026,0.0,0.0,0.0,0.0,0.0,6.0288
1764090926.877235,0.0,0.0,0.0,0.0,0.0,6.28
1764090926.9218922,0.0,0.0,0.0,0.0,0.0,6.28
1764090926.956813,0.0,0.0,0.0,0.0,0.0,6.28
1764090926.9969692,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.0464084,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.0773962,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.117918,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.158256,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.202097,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.2405398,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.281464,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.3180518,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.3598118,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.4021788,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.4375095,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.480133,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.5175893,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.557557,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.6001332,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.637762,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.6774592,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.7178802,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.757283,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.7993853,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.8379943,0.0,0.0,0.0,0.0,0.0,6.28
1764090927.901353,0.0,0.0,0.0,0.0,0.0,6.0288
1764090927.9175498,0.0,0.0,0.0,0.0,0.0,5.5264
1764090927.9573483,0.0,0.0,0.0,0.0,0.0,5.024
1764090927.996988,0.0,0.0,0.0,0.0,0.0,4.5216
1764090928.0378172,0.0,0.0,0.0,0.0,0.0,4.0192
1764090928.0802975,0.0,0.0,0.0,0.0,0.0,3.5168
1764090928.1226866,0.0,0.0,0.0,0.0,0.0,3.0144
1764090928.1522293,0.0,0.0,0.0,0.0,0.0,2.512
1764090928.197459,0.0,0.0,0.0,0.0,0.0,2.0096
1764090928.237831,0.0,0.0,0.0,0.0,0.0,1.5072
1764090928.2767956,0.0,0.0,0.0,0.0,0.0,1.0048
1764090928.3229043,0.0,0.0,0.0,0.0,0.0,0.4944
1764090928.3602312,0.0,0.0,0.0,0.0,0.0,0.0
