timestamp,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1764091365.4715028,0.0,0.0,0.0,0.0,0.0,0.0
1764091365.519799,0.0,0.0,0.0,0.0,0.0,0.482
1764091365.5549998,0.0,0.0,0.0,0.0,0.0,0.844
1764091365.6001835,0.0,0.0,0.0,0.0,0.0,0.998
1764091365.6430907,0.0,0.0,0.0,0.0,0.0,0.904
1764091365.6716805,0.0,0.0,0.0,0.0,0.0,0.588
1764091365.7203057,0.0,0.0,0.0,0.0,0.0,0.126
1764091365.7598228,0.0,0.0,0.0,0.0,0.0,-0.367
1764091365.8009398,0.0,0.0,0.0,0.0,0.0,-0.77
1764091365.843578,0.0,0.0,0.0,0.0,0.0,-0.984
1764091365.885361,0.0,0.0,0.0,0.0,0.0,-0.946
1764091365.9194136,0.0,0.0,0.0,0.0,0.0,-0.682
1764091365.9532564,0.0,0.0,0.0,0.0,0.0,-0.247
1764091365.9925387,0.0,0.0,0.0,0.0,0.0,0.248
1764091366.0322175,0.0,0.0,0.0,0.0,0.0,0.684
1764091366.0833044,0.0,0.0,0.0,0.0,0.0,0.951
1764091366.1111577,0.0,0.0,0.0,0.0,0.0,0.981
1764091366.1600673,0.0,0.0,0.0,0.0,0.0,0.77
1764091366.2027586,0.0,0.0,0.0,0.0,0.0,0.381
1764091366.2331471,0.0,0.0,0.0,0.0,0.0,-0.125
1764091366.2879393,0.0,0.0,0.0,0.0,0.0,-0.588
1764091366.32033,0.0,0.0,0.0,0.0,0.0,-0.905
1764091366.3598917,0.0,0.0,0.0,0.0,0.0,-0.996
1764091366.3927631,0.0,0.0,0.0,0.0,0.0,-0.833
1764091366.4391084,0.0,0.0,0.0,0.0,0.0,-0.484
1764091366.4794815,0.0,0.0,0.0,0.0,0.0,-0.002
1764091366.5191562,0.0,0.0,0.0,0.0,0.0,0.481
1764091366.5597448,0.0,0.0,0.0,0.0,0.0,0.842
1764091366.6001904,0.0,0.0,0.0,0.0,0.0,0.997
1764091366.6348956,0.0,0.0,0.0,0.0,0.0,0.905
1764091366.6801164,0.0,0.0,0.0,0.0,0.0,0.593
1764091366.7113628,0.0,0.0,0.0,0.0,0.0,0.128
1764091366.7644892,0.0,0.0,0.0,0.0,0.0,-0.366
1764091366.800517,0.0,0.0,0.0,0.0,0.0,-0.771
1764091366.839198,0.0,0.0,0.0,0.0,0.0,-0.984
1764091366.8829446,0.0,0.0,0.0,0.0,0.0,-0.952
1764091366.9214633,0.0,0.0,0.0,0.0,0.0,-0.687
1764091366.9609513,0.0,0.0,0.0,0.0,0.0,-0.251
1764091366.9986525,0.0,0.0,0.0,0.0,0.0,0.245
1764091367.037166,0.0,0.0,0.0,0.0,0.0,0.681
1764091367.0725412,0.0,0.0,0.0,0.0,0.0,0.949
1764091367.1146936,0.0,0.0,0.0,0.0,0.0,0.982
1764091367.1619587,0.0,0.0,0.0,0.0,0.0,0.773
1764091367.201458,0.0,0.0,0.0,0.0,0.0,0.369
1764091367.2501125,0.0,0.0,0.0,0.0,0.0,-0.121
1764091367.2821403,0.0,0.0,0.0,0.0,0.0,-0.584
1764091367.3195035,0.0,0.0,0.0,0.0,0.0,-0.904
1764091367.36116,0.0,0.0,0.0,0.0,0.0,-0.996
1764091367.4039056,0.0,0.0,0.0,0.0,0.0,-0.844
1764091367.4322903,0.0,0.0,0.0,0.0,0.0,-0.482
1764091466.480501,0.0,0.0,0.0,0.0,0.0,0.0
1764091466.519744,0.0,0.0,0.0,0.0,0.0,0.482
1764091466.5617344,0.0,0.0,0.0,0.0,0.0,0.844
1764091466.6052868,0.0,0.0,0.0,0.0,0.0,0.998
1764091466.6433346,0.0,0.0,0.0,0.0,0.0,0.904
1764091466.6813614,0.0,0.0,0.0,0.0,0.0,0.588
1764091466.7203333,0.0,0.0,0.0,0.0,0.0,0.126
1764091466.7644856,0.0,0.0,0.0,0.0,0.0,-0.367
